 ,2012 total,2012 Seoul,2012 Busan,2012 Daegu,2012 Incheon,2012 Gwangju,2012 Daejeon,2012 Ulsan,2012 Bucheon,2012 Suwon,2012 Seongnam,2012 Jeonju,2012 Anyang,2012 Cheongju,2012 Masan,2012 Changwon,2012 Gwangmyeong,2012 Pohang,2012 Ansan,2012 Jinju,2012 Goyang,2012 Jeju,2012 Mokpo,2012 Uijeongbu,2012 Iksan,2012 Gunsan,2012 Gumi,2012 Cheonan,2012 Yeosu,2012 Chuncheon,2012 Wonju,2012 Pyeongta다,2012 Gyeongju,2012 Gimhae,2012 Suncheon,2012 Gunpo,2012 Namyangju,2012 Gangneung,2012 Chungju,2012 Andong,2012 Gyeongsan,2012 Asan,2012 Geoje,2012 Gimcheon,2012 Jeongeup,2012 Yongin,2012 Siheung,2012 Paju,2012 Yangsan,2012 Icheon,2012 Guri,2012 Seosan,2012 Jecheon,2012 Nonsan,2012 other cities,2012 except cities,2011 total,2011 Seoul,2011 Busan,2011 Daegu,2011 Incheon,2011 Gwangju,2011 Daejeon,2011 Ulsan,2011 Bucheon,2011 Suwon,2011 Seongnam,2011 Jeonju,2011 Anyang,2011 Cheongju,2011 Masan,2011 Changwon,2011 Gwangmyeong,2011 Pohang,2011 Ansan,2011 Jinju,2011 Goyang,2011 Jeju,2011 Mokpo,2011 Uijeongbu,2011 Iksan,2011 Gunsan,2011 Gumi,2011 Cheonan,2011 Yeosu,2011 Chuncheon,2011 Wonju,2011 Pyeongta다,2011 Gyeongju,2011 Gimhae,2011 Suncheon,2011 Gunpo,2011 Namyangju,2011 Gangneung,2011 Chungju,2011 Andong,2011 Gyeongsan,2011 Asan,2011 Geoje,2011 Gimcheon,2011 Jeongeup,2011 Yongin,2011 Siheung,2011 Paju,2011 Yangsan,2011 Icheon,2011 Guri,2011 Seosan,2011 Jecheon,2011 Nonsan,2011 other cities,2011 except cities
toal,1793400.0,360468.0,137788.0,97968.0,92766.0,67513.0,45073.0,38716.0,35196.0,38097.0,30465.0,22584.0,17627.0,21854.0,1953.0,33757.0,8442.0,19720.0,25968.0,11991.0,28248.0,29045.0,11786.0,14971.0,12611.0,14078.0,17847.0,23060.0,12704.0,10936.0,15704.0,18230.0,11304.0,19616.0,10654.0,7652.0,14262.0,8984.0,7458.0,6150.0,8766.0,7767.0,10104.0,4195.0,3566.0,19559.0,16666.0,12040.0,9273.0,7292.0,7851.0,5864.0,4584.0,3582.0,144465.0,124580.0,1752598.0,358753.0,135399.0,96450.0,86641.0,63810.0,47401.0,37855.0,31393.0,36741.0,29500.0,20622.0,17458.0,22450.0,16348.0,25155.0,7920.0,18857.0,25387.0,13221.0,26421.0,27926.0,12413.0,15698.0,11604.0,11338.0,17743.0,21379.0,15073.0,9767.0,14015.0,18710.0,9837.0,21131.0,11067.0,6734.0,13709.0,8116.0,6855.0,5826.0,8300.0,6912.0,11140.0,3990.0,3623.0,18903.0,16324.0,11700.0,8180.0,6839.0,7337.0,4416.0,4059.0,4013.0,131939.0,128200.0
violent crimes,25152.0,6033.0,1836.0,1196.0,1522.0,1059.0,711.0,471.0,520.0,677.0,459.0,319.0,281.0,360.0,19.0,426.0,128.0,173.0,444.0,118.0,393.0,348.0,133.0,272.0,170.0,118.0,187.0,359.0,143.0,115.0,180.0,205.0,140.0,204.0,137.0,142.0,181.0,105.0,97.0,82.0,119.0,115.0,109.0,47.0,50.0,256.0,276.0,159.0,115.0,106.0,102.0,83.0,60.0,60.0,1668.0,1364.0,26699.0,6878.0,2110.0,1106.0,1696.0,952.0,808.0,542.0,585.0,709.0,524.0,292.0,284.0,384.0,201.0,280.0,104.0,210.0,513.0,150.0,429.0,336.0,159.0,233.0,163.0,123.0,225.0,366.0,80.0,98.0,171.0,250.0,125.0,204.0,158.0,115.0,175.0,114.0,93.0,87.0,123.0,104.0,106.0,46.0,36.0,252.0,263.0,128.0,78.0,93.0,121.0,66.0,72.0,75.0,1633.0,1471.0
theft,290460.0,61332.0,25494.0,16554.0,10394.0,12678.0,12568.0,6118.0,6714.0,6854.0,5300.0,3571.0,2556.0,4980.0,364.0,6540.0,1471.0,2752.0,4598.0,1837.0,3931.0,5053.0,1933.0,2216.0,2180.0,1104.0,2587.0,5252.0,1413.0,1357.0,2281.0,2918.0,1753.0,3645.0,1287.0,1232.0,1847.0,1379.0,1216.0,885.0,1499.0,1877.0,1361.0,539.0,484.0,3022.0,1610.0,1294.0,1504.0,769.0,1298.0,668.0,524.0,817.0,18734.0,16316.0,281362.0,54310.0,24697.0,14852.0,10146.0,13373.0,12764.0,6764.0,5783.0,6373.0,4882.0,3862.0,2594.0,5887.0,3358.0,4758.0,1223.0,3030.0,3733.0,2100.0,3654.0,5405.0,2092.0,2320.0,1717.0,1348.0,2472.0,4902.0,1220.0,1407.0,2615.0,2486.0,1705.0,3616.0,1649.0,1088.0,1936.0,1028.0,1237.0,894.0,1728.0,1451.0,1399.0,541.0,567.0,2992.0,1900.0,1283.0,1391.0,873.0,1222.0,588.0,623.0,786.0,17440.0,17298.0
violence,312579.0,70668.0,22516.0,16897.0,17350.0,11605.0,6700.0,7391.0,6699.0,7378.0,6387.0,3591.0,3780.0,4447.0,316.0,5857.0,2071.0,2459.0,5415.0,1701.0,4667.0,4685.0,2335.0,3507.0,1909.0,1752.0,2176.0,3513.0,2204.0,1962.0,3460.0,3040.0,1513.0,2831.0,1600.0,1629.0,2875.0,1863.0,1068.0,1069.0,1448.0,1517.0,1380.0,562.0,637.0,3142.0,3227.0,1969.0,1585.0,1330.0,1693.0,662.0,739.0,427.0,22543.0,16832.0,311945.0,72056.0,20669.0,17657.0,16167.0,11279.0,6897.0,7305.0,6974.0,7650.0,6759.0,3236.0,3938.0,4608.0,2642.0,3930.0,2080.0,2357.0,5399.0,1538.0,5397.0,5640.0,2264.0,3862.0,1696.0,1531.0,2258.0,3099.0,1928.0,1799.0,3443.0,2985.0,1423.0,2835.0,1539.0,1530.0,2515.0,2063.0,1183.0,1128.0,1490.0,1515.0,1190.0,566.0,610.0,3319.0,3325.0,2204.0,1270.0,1347.0,1766.0,629.0,690.0,568.0,21568.0,16629.0
intellectual crimes,295101.0,72333.0,25502.0,12859.0,14059.0,8980.0,8243.0,5283.0,5974.0,5900.0,4908.0,2741.0,2673.0,2687.0,325.0,5446.0,1355.0,2356.0,4152.0,1574.0,4606.0,4211.0,1916.0,2808.0,1225.0,3262.0,2842.0,3263.0,1406.0,1124.0,2042.0,2389.0,1501.0,2723.0,1345.0,1423.0,2164.0,1174.0,1146.0,984.0,1205.0,1299.0,1716.0,544.0,513.0,3119.0,2362.0,2370.0,1269.0,1022.0,1393.0,1395.0,666.0,570.0,22666.0,22088.0,279802.0,71386.0,28310.0,12957.0,12511.0,7973.0,7537.0,4631.0,5239.0,5571.0,4849.0,2568.0,2862.0,2551.0,1981.0,3459.0,1041.0,2289.0,4190.0,1526.0,4188.0,3612.0,1891.0,2619.0,1139.0,1950.0,2126.0,3128.0,1276.0,1080.0,1665.0,2131.0,1442.0,2177.0,1428.0,941.0,1826.0,1121.0,967.0,826.0,951.0,1032.0,1457.0,395.0,568.0,2487.0,2475.0,1630.0,1044.0,925.0,1178.0,786.0,528.0,610.0,20541.0,22231.0
Sittlichkeitsverbrechen,24801.0,4670.0,2578.0,1222.0,1394.0,887.0,792.0,429.0,444.0,472.0,618.0,514.0,282.0,259.0,13.0,408.0,126.0,244.0,396.0,122.0,625.0,429.0,100.0,192.0,294.0,171.0,191.0,255.0,124.0,90.0,149.0,238.0,94.0,182.0,252.0,84.0,119.0,63.0,101.0,77.0,137.0,123.0,241.0,49.0,27.0,291.0,324.0,199.0,96.0,64.0,117.0,51.0,38.0,40.0,1917.0,1387.0,28834.0,5206.0,3602.0,1339.0,1293.0,1076.0,1440.0,538.0,518.0,513.0,731.0,483.0,191.0,378.0,122.0,287.0,152.0,275.0,485.0,121.0,285.0,420.0,123.0,184.0,376.0,196.0,285.0,260.0,175.0,93.0,290.0,314.0,229.0,177.0,289.0,85.0,129.0,133.0,109.0,76.0,125.0,114.0,243.0,64.0,61.0,536.0,231.0,117.0,91.0,80.0,122.0,60.0,46.0,44.0,2269.0,1653.0
special economic crimes,78155.0,23180.0,6233.0,3873.0,4403.0,2123.0,1551.0,1404.0,1692.0,1737.0,1640.0,664.0,861.0,658.0,65.0,1256.0,543.0,645.0,1178.0,415.0,1534.0,1182.0,250.0,717.0,321.0,327.0,517.0,883.0,356.0,307.0,381.0,708.0,374.0,736.0,296.0,346.0,513.0,254.0,200.0,207.0,329.0,344.0,257.0,221.0,92.0,918.0,681.0,847.0,368.0,324.0,329.0,103.0,148.0,135.0,5081.0,3448.0,68026.0,19136.0,6107.0,3679.0,3677.0,2051.0,1530.0,1434.0,1341.0,1683.0,1384.0,622.0,797.0,598.0,429.0,716.0,320.0,603.0,1071.0,284.0,1343.0,827.0,341.0,536.0,338.0,197.0,491.0,704.0,294.0,259.0,317.0,522.0,368.0,565.0,244.0,419.0,438.0,146.0,184.0,177.0,251.0,268.0,197.0,161.0,89.0,605.0,705.0,667.0,261.0,260.0,347.0,88.0,138.0,63.0,4485.0,3269.0
narcotic crimes,4268.0,698.0,777.0,213.0,495.0,40.0,45.0,48.0,49.0,65.0,78.0,1.0,15.0,27.0,17.0,135.0,14.0,13.0,49.0,108.0,19.0,27.0,7.0,27.0,7.0,4.0,37.0,16.0,21.0,21.0,14.0,120.0,10.0,96.0,9.0,2.0,13.0,14.0,10.0,19.0,6.0,11.0,7.0,10.0,10.0,17.0,31.0,22.0,12.0,22.0,14.0,11.0,12.0,1.0,379.0,323.0,4160.0,716.0,702.0,262.0,296.0,51.0,63.0,43.0,45.0,50.0,71.0,8.0,18.0,16.0,86.0,48.0,13.0,21.0,51.0,92.0,38.0,39.0,7.0,57.0,3.0,6.0,11.0,15.0,13.0,39.0,22.0,61.0,24.0,67.0,17.0,4.0,19.0,3.0,13.0,16.0,11.0,9.0,9.0,4.0,2.0,26.0,24.0,8.0,24.0,22.0,10.0,15.0,10.0,10.0,334.0,516.0
health crimes,16800.0,3559.0,2946.0,362.0,606.0,295.0,199.0,313.0,179.0,327.0,316.0,159.0,61.0,122.0,32.0,273.0,88.0,567.0,211.0,118.0,254.0,83.0,55.0,77.0,65.0,101.0,76.0,101.0,1026.0,43.0,113.0,105.0,72.0,174.0,32.0,65.0,197.0,34.0,23.0,38.0,14.0,46.0,100.0,36.0,44.0,154.0,99.0,65.0,128.0,28.0,40.0,45.0,27.0,35.0,1131.0,1341.0,14083.0,3872.0,1563.0,348.0,550.0,245.0,207.0,220.0,204.0,324.0,246.0,138.0,81.0,67.0,106.0,286.0,100.0,149.0,203.0,86.0,203.0,402.0,60.0,81.0,53.0,95.0,59.0,94.0,56.0,25.0,112.0,128.0,81.0,231.0,32.0,63.0,247.0,28.0,20.0,45.0,19.0,32.0,104.0,39.0,39.0,157.0,175.0,60.0,100.0,44.0,61.0,29.0,31.0,24.0,1205.0,854.0
environment cirmes,3128.0,32.0,173.0,11.0,72.0,8.0,15.0,74.0,5.0,10.0,15.0,14.0,-,4.0,3.0,34.0,14.0,73.0,9.0,8.0,36.0,39.0,20.0,6.0,25.0,52.0,23.0,29.0,72.0,14.0,21.0,42.0,23.0,43.0,8.0,-,22.0,23.0,7.0,3.0,3.0,7.0,22.0,3.0,7.0,28.0,91.0,12.0,4.0,28.0,5.0,14.0,9.0,19.0,1148.0,646.0,2649.0,32.0,181.0,12.0,52.0,7.0,6.0,118.0,5.0,17.0,12.0,12.0,1.0,6.0,14.0,13.0,14.0,81.0,21.0,11.0,30.0,44.0,25.0,6.0,27.0,22.0,10.0,19.0,37.0,14.0,22.0,23.0,28.0,18.0,4.0,1.0,24.0,23.0,2.0,3.0,4.0,4.0,19.0,2.0,4.0,32.0,85.0,17.0,6.0,44.0,4.0,38.0,13.0,19.0,690.0,671.0
